,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Intern,0.06106107,0.0075927954,-0.10450674,0.10199073,0.06849839,-0.032822587,-0.020261308,-0.015258809,-0.091403,0.030825865,0.13044731,0.00044521247,-0.07789734,-0.011896196,-0.026759058,0.12515269
Student Assistant,0.049985122,-0.09379725,-0.0822633,-0.042376343,0.05452209,0.037702262,-0.14197144,0.011443021,0.052632365,0.104313485,-0.041173726,-0.040622957,-0.06363131,0.052726172,0.027776724,0.019776072
Volunteer,0.05757006,0.0021619948,-0.10151976,0.09311571,0.06854339,-0.02953602,-0.026605045,-0.0125204725,-0.08359457,0.03506101,0.118917,-0.0012132279,-0.075440735,-0.00890735,-0.02497558,0.115337156
Camp Counselor,0.022020167,-0.08162474,-0.070724174,-0.038323417,0.08151339,0.023246737,-0.12888104,0.025495488,0.031714085,0.106106274,-0.059811756,-0.029782375,-0.044974014,0.041545264,0.007720947,-0.009967098
Babysitter,-0.027701799,0.09571637,0.2584205,-0.23176125,-0.14969662,0.07952792,0.17886,-0.049450777,0.16459021,-0.16609088,-0.30830374,0.025585478,0.21852636,0.02033664,0.09153666,-0.08060763
Dog Walker,0.03437334,-0.011018375,-0.08129898,0.055802643,0.081103176,-0.020958597,-0.041309956,0.0027259423,-0.06009706,0.050051577,0.056923863,-0.0031177243,-0.05349,-0.00043154965,-0.024052026,0.066449985
Lawn Mower,-0.035059486,0.08729476,0.19368525,-0.14038448,-0.110114366,0.04016478,0.15554562,-0.034702558,0.09175876,-0.13457794,-0.1896853,0.02795566,0.1599517,-0.00097396976,0.048189227,-0.061949827
House Cleaner,0.010100848,-0.039208967,-0.06596262,0.005267782,0.10037096,-0.005697127,-0.07678915,0.02366295,-0.023751175,0.080427185,-0.023592763,-0.0102070505,-0.033522703,0.015948296,-0.0196399,0.0068977484
Farm Hand,-0.02302673,-0.018128574,-0.036569435,-0.00038959316,0.118680045,-0.017433483,-0.04839762,0.036403026,-0.038696088,0.070970155,-0.059955075,0.0030488563,-0.00016007709,0.004462577,-0.03727624,-0.029604888
Newspaper Delivery,0.009756685,-0.032113306,-0.06400722,0.009768407,0.10498066,-0.009013554,-0.06865144,0.022768486,-0.031679656,0.07705441,-0.022328714,-0.007282284,-0.030414676,0.012955373,-0.02300389,0.011488998
Fast Food Worker,-0.040603902,-0.029491836,-0.021826556,-0.03424513,0.1351205,-0.009176581,-0.06296163,0.04973269,-0.018744184,0.08653836,-0.11921347,0.0015023868,0.019265845,0.012941169,-0.035935707,-0.06832873
Cashier,-0.053960077,-0.05224833,0.00023623319,-0.07597424,0.10365802,0.010794158,-0.08169647,0.055891752,0.02912693,0.08908331,-0.16164888,-0.006973915,0.031135311,0.025990559,-0.018389855,-0.111369155
Retail Sales Associate,0.05878704,-0.10796509,-0.08498705,-0.02881079,-0.014949693,0.044075873,-0.14626232,-0.0032565773,0.074810885,0.08513134,0.028664762,-0.048586726,-0.09205255,0.051407106,0.041174423,0.0253706
Barista,-0.048920855,-0.0540486,0.011217421,-0.104280025,0.1011343,0.023763273,-0.083186306,0.053750996,0.049828213,0.088097006,-0.20167628,-0.008730475,0.04595864,0.034633473,-0.005064615,-0.11358751
Waiter/Waitress,-0.05338748,-0.05204877,0.006914022,-0.083634876,0.09310076,0.015059593,-0.0785152,0.053454835,0.03805914,0.083558515,-0.167214,-0.007501629,0.035359025,0.027511196,-0.012922404,-0.113088965
